,terse_version_3,fio_version,jobname,groupid,error,read_kb,read_bandwidth_kb,read_iops,read_runtime_ms,read_slat_min_us,read_slat_max_us,read_slat_mean_us,read_slat_dev_us,read_clat_min_us,read_clat_max_us,read_clat_mean_us,read_clat_dev_us,read_clat_pct01,read_clat_pct02,read_clat_pct03,read_clat_pct04,read_clat_pct05,read_clat_pct06,read_clat_pct07,read_clat_pct08,read_clat_pct09,read_clat_pct10,read_clat_pct11,read_clat_pct12,read_clat_pct13,read_clat_pct14,read_clat_pct15,read_clat_pct16,read_clat_pct17,read_clat_pct18,read_clat_pct19,read_clat_pct20,read_tlat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_dev_us,read_bw_min_kb,read_bw_max_kb,read_bw_agg_pct,read_bw_mean_kb,read_bw_dev_kb,write_kb,write_bandwidth_kb,write_iops,write_runtime_ms,write_slat_min_us,write_slat_max_us,write_slat_mean_us,write_slat_dev_us,write_clat_min_us,write_clat_max_us,write_clat_mean_us,write_clat_dev_us,write_clat_pct01,write_clat_pct02,write_clat_pct03,write_clat_pct04,write_clat_pct05,write_clat_pct06,write_clat_pct07,write_clat_pct08,write_clat_pct09,write_clat_pct10,write_clat_pct11,write_clat_pct12,write_clat_pct13,write_clat_pct14,write_clat_pct15,write_clat_pct16,write_clat_pct17,write_clat_pct18,write_clat_pct19,write_clat_pct20,write_tlat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_dev_us,write_bw_min_kb,write_bw_max_kb,write_bw_agg_pct,write_bw_mean_kb,write_bw_dev_kb,cpu_user,cpu_sys,cpu_csw,cpu_mjf,cpu_minf,iodepth_1,iodepth_2,iodepth_4,iodepth_8,iodepth_16,iodepth_32,iodepth_64,lat_2us,lat_4us,lat_10us,lat_20us,lat_50us,lat_100us,lat_250us,lat_500us,lat_750us,lat_1000us,lat_2ms,lat_4ms,lat_10ms,lat_20ms,lat_50ms,lat_100ms,lat_250ms,lat_500ms,lat_750ms,lat_1000ms,lat_2000ms,lat_over_2000ms,description,rw-cat,rw_full,bs,bs_num,nj,read_bw_mean_gb,write_bw_mean_gb
4,3,fio-3.23,SeqR-4K-16-taskset-cpu-args,0.0,0.0,11694332.0,194899.0,48724.0,60002.0,0.0,0.0,0.0,0.0,138.0,250373.0,327.80346,974.192494,1.000000%=191,5.000000%=244,10.000000%=276,20.000000%=288,30.000000%=301,40.000000%=309,50.000000%=313,60.000000%=321,70.000000%=329,80.000000%=342,90.000000%=354,95.000000%=370,99.000000%=419,99.500000%=448,99.900000%=522,99.950000%=4112,99.990000%=44826,0%=0,0%=0,0%=0,138.0,250373.0,327.848653,974.192506,94344.0,219792.0,100.000000%,195073.411765,1153.494534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.416978%,1.313435%,2923674.0,0.0,189.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.32%,94.54%,0.06%,0.01%,0.01%,0.01%,0.03%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,SeqR-4K-16,SeqR,Sequential Read-only,4K,4096,16,0.1860365026140213,0.0
9,3,fio-3.23,SeqR-16K-16-taskset-cpu-args,0.0,0.0,41249856.0,687486.0,42967.0,60001.0,0.0,0.0,0.0,0.0,130.0,279948.0,371.831443,1338.538972,1.000000%=199,5.000000%=250,10.000000%=292,20.000000%=317,30.000000%=329,40.000000%=337,50.000000%=346,60.000000%=354,70.000000%=362,80.000000%=370,90.000000%=387,95.000000%=399,99.000000%=464,99.500000%=493,99.900000%=5472,99.950000%=15532,99.990000%=69730,0%=0,0%=0,0%=0,130.0,279948.0,371.874612,1338.53897,210112.0,813088.0,100.000000%,688146.016807,6865.918989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.332708%,1.310729%,2578205.0,0.0,242.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.97%,94.59%,0.22%,0.03%,0.05%,0.03%,0.05%,0.02%,0.02%,0.02%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,SeqR-16K-16,SeqR,Sequential Read-only,16K,16384,16,0.6562671821660996,0.0
14,3,fio-3.23,SeqR-1M-16-taskset-cpu-args,0.0,0.0,265088000.0,4417838.0,4314.0,60004.0,0.0,0.0,0.0,0.0,453.0,262717.0,3707.045848,4980.056483,1.000000%=929,5.000000%=2768,10.000000%=3227,20.000000%=3325,30.000000%=3358,40.000000%=3358,50.000000%=3358,60.000000%=3391,70.000000%=3424,80.000000%=3457,90.000000%=3555,95.000000%=3719,99.000000%=10682,99.500000%=25559,99.900000%=85458,99.950000%=98041,99.990000%=185597,0%=0,0%=0,0%=0,453.0,262717.0,3707.082701,4980.061514,309248.0,5726208.0,100.000000%,4419411.89916,60737.944715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.020312%,0.271660%,258955.0,1.0,183.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.68%,0.34%,1.10%,94.74%,2.04%,0.43%,0.35%,0.21%,0.04%,0.01%,0.00%,0.00%,0.00%,0.00%,SeqR-1M-16,SeqR,Sequential Read-only,1M,1048576,16,4.21467962184906,0.0
19,3,fio-3.23,SeqR-2M-16-taskset-cpu-args,0.0,0.0,235945984.0,3932170.0,1920.0,60004.0,0.0,0.0,0.0,0.0,1081.0,308504.0,8330.115867,6830.277178,1.000000%=4079,5.000000%=6914,10.000000%=7241,20.000000%=7569,30.000000%=7700,40.000000%=7831,50.000000%=7897,60.000000%=8028,70.000000%=8093,80.000000%=8224,90.000000%=8454,95.000000%=8716,99.000000%=16580,99.500000%=36962,99.900000%=116916,99.950000%=145752,99.990000%=246415,0%=0,0%=0,0%=0,1081.0,308504.0,8330.157609,6830.283936,552960.0,4464640.0,100.000000%,3934569.411765,41937.414252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.015729%,0.352594%,230496.0,0.0,3211.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%,0.55%,97.33%,0.88%,0.41%,0.27%,0.13%,0.01%,0.00%,0.00%,0.00%,0.00%,SeqR-2M-16,SeqR,Sequential Read-only,2M,2097152,16,3.7522977941179274,0.0
24,3,fio-3.23,SeqR-4M-16-taskset-cpu-args,0.0,0.0,177479680.0,2957353.0,722.0,60013.0,0.0,0.0,0.0,0.0,2394.0,544477.0,22150.298319,14230.979672,1.000000%=9633,5.000000%=19529,10.000000%=20054,20.000000%=20316,30.000000%=20578,40.000000%=20578,50.000000%=20840,60.000000%=20840,70.000000%=21102,80.000000%=21364,90.000000%=21889,95.000000%=22937,99.000000%=69730,99.500000%=125304,99.900000%=244318,99.950000%=278921,99.990000%=316669,0%=0,0%=0,0%=0,2394.0,544477.0,22150.339133,14230.989994,401408.0,4112384.0,100.000000%,2958959.210084,37104.570413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.009061%,0.277779%,173401.0,0.0,7787.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.82%,9.22%,88.37%,0.67%,0.60%,0.08%,0.01%,0.00%,0.00%,0.00%,SeqR-4M-16,SeqR,Sequential Read-only,4M,4194304,16,2.8218834019508363,0.0
29,3,fio-3.23,SeqRH-4K-16-taskset-cpu-args,0.0,0.0,9328596.0,155471.0,38867.0,60002.0,0.0,0.0,0.0,0.0,112.0,506753.0,331.396932,1078.372563,1.000000%=179,5.000000%=224,10.000000%=250,20.000000%=272,30.000000%=288,40.000000%=305,50.000000%=317,60.000000%=333,70.000000%=346,80.000000%=358,90.000000%=378,95.000000%=399,99.000000%=477,99.500000%=505,99.900000%=643,99.950000%=4358,99.990000%=43253,0%=0,0%=0,0%=0,113.0,506753.0,331.438866,1078.372714,54848.0,193008.0,100.000000%,155695.327731,1528.521686,2333092.0,38883.0,9720.0,60002.0,0.0,0.0,0.0,0.0,120.0,467798.0,316.801534,1932.553089,1.000000%=148,5.000000%=168,10.000000%=187,20.000000%=226,30.000000%=250,40.000000%=268,50.000000%=280,60.000000%=296,70.000000%=313,80.000000%=325,90.000000%=346,95.000000%=362,99.000000%=407,99.500000%=452,99.900000%=7110,99.950000%=15925,99.990000%=93847,0%=0,0%=0,0%=0,120.0,467798.0,316.852106,1932.553244,13000.0,50576.0,100.000000%,38939.428571,401.408772,0.453228%,1.457914%,2915546.0,0.0,254.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.59%,85.89%,0.40%,0.01%,0.01%,0.02%,0.04%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,SeqRH-4K-16,SeqRH,Sequential Read-heavy 4:1,4K,4096,16,0.14848263524150848,0.03713553292369842
34,3,fio-3.23,SeqRH-16K-16-taskset-cpu-args,0.0,0.0,31155984.0,519257.0,32453.0,60001.0,0.0,0.0,0.0,0.0,131.0,264096.0,396.367737,1212.350906,1.000000%=211,5.000000%=257,10.000000%=305,20.000000%=342,30.000000%=358,40.000000%=366,50.000000%=374,60.000000%=382,70.000000%=395,80.000000%=407,90.000000%=432,95.000000%=464,99.000000%=528,99.500000%=544,99.900000%=2998,99.950000%=9502,99.990000%=68681,0%=0,0%=0,0%=0,131.0,264096.0,396.410106,1212.350958,132896.0,587808.0,100.000000%,519708.504202,5483.278155,7790432.0,129838.0,8114.0,60001.0,0.0,0.0,0.0,0.0,142.0,273074.0,378.93388,1946.046488,1.000000%=187,5.000000%=216,10.000000%=259,20.000000%=296,30.000000%=313,40.000000%=321,50.000000%=333,60.000000%=342,70.000000%=354,80.000000%=366,90.000000%=387,95.000000%=407,99.000000%=473,99.500000%=505,99.900000%=9502,99.950000%=27131,99.990000%=96993,0%=0,0%=0,0%=0,143.0,273075.0,379.0622,1946.046228,33152.0,158912.0,100.000000%,129955.764706,1450.700566,0.607917%,1.425000%,2434270.0,0.0,245.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.15%,92.86%,1.83%,0.01%,0.02%,0.02%,0.05%,0.02%,0.02%,0.02%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,SeqRH-16K-16,SeqRH,Sequential Read-heavy 4:1,16K,16384,16,0.49563265247535704,0.12393547506904602
39,3,fio-3.23,SeqRH-1M-16-taskset-cpu-args,0.0,0.0,177551360.0,2958992.0,2889.0,60004.0,0.0,0.0,0.0,0.0,534.0,693932.0,4452.023325,5658.956431,1.000000%=1028,5.000000%=2998,10.000000%=3293,20.000000%=3620,30.000000%=3817,40.000000%=3981,50.000000%=4145,60.000000%=4292,70.000000%=4423,80.000000%=4620,90.000000%=4947,95.000000%=5210,99.000000%=10289,99.500000%=26345,99.900000%=82313,99.950000%=99090,99.990000%=214958,0%=0,0%=0,0%=0,534.0,693932.0,4452.064907,5658.962182,235072.0,3725473.0,100.000000%,2961043.731092,40891.660747,44536832.0,742231.0,724.0,60004.0,0.0,0.0,0.0,0.0,877.0,383261.0,4112.816971,6377.086865,1.000000%=1335,5.000000%=2244,10.000000%=2572,20.000000%=2998,30.000000%=3260,40.000000%=3489,50.000000%=3686,60.000000%=3915,70.000000%=4145,80.000000%=4423,90.000000%=4751,95.000000%=5079,99.000000%=12124,99.500000%=28704,99.900000%=94896,99.950000%=132644,99.990000%=229638,0%=0,0%=0,0%=0,877.0,383261.0,4112.881162,6377.100375,79726.0,1211205.0,100.000000%,743672.315625,13182.428003,0.948427%,0.351975%,217000.0,0.0,227.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.56%,1.48%,43.65%,53.08%,0.41%,0.34%,0.22%,0.05%,0.01%,0.01%,0.00%,0.00%,0.00%,SeqRH-1M-16,SeqRH,Sequential Read-heavy 4:1,1M,1048576,16,2.823871356098175,0.7092211872339249
44,3,fio-3.23,SeqRH-2M-16-taskset-cpu-args,0.0,0.0,213473280.0,3557650.0,1737.0,60004.0,0.0,0.0,0.0,0.0,1061.0,1416687.0,7370.614569,11476.300035,1.000000%=2506,5.000000%=5275,10.000000%=5799,20.000000%=6193,30.000000%=6389,40.000000%=6586,50.000000%=6782,60.000000%=6979,70.000000%=7110,80.000000%=7307,90.000000%=7634,95.000000%=7897,99.000000%=17170,99.500000%=51118,99.900000%=147849,99.950000%=179306,99.990000%=295698,0%=0,0%=0,0%=0,1061.0,1416687.0,7370.671695,11476.3051,286258.0,6500161.0,100.000000%,3575202.964286,57285.402293,52801536.0,879966.0,429.0,60004.0,0.0,0.0,0.0,0.0,1809.0,887734.0,7092.368178,12645.905095,1.000000%=2605,5.000000%=4554,10.000000%=5079,20.000000%=5603,30.000000%=5865,40.000000%=6127,50.000000%=6324,60.000000%=6586,70.000000%=6848,80.000000%=7110,90.000000%=7569,95.000000%=7897,99.000000%=18481,99.500000%=60030,99.900000%=166723,99.950000%=208666,99.990000%=775946,0%=0,0%=0,0%=0,1810.0,887734.0,7092.485159,12645.915299,69524.0,1865187.0,100.000000%,890352.042966,18882.83274,0.869153%,0.271142%,260149.0,0.0,241.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.45%,2.40%,95.66%,0.60%,0.39%,0.27%,0.22%,0.01%,0.01%,0.01%,0.01%,0.00%,SeqRH-2M-16,SeqRH,Sequential Read-heavy 4:1,2M,2097152,16,3.4095792429790497,0.8491058759365082
49,3,fio-3.23,SeqRH-4M-16-taskset-cpu-args,0.0,0.0,144359424.0,2405148.0,587.0,60021.0,0.0,0.0,0.0,0.0,3020.0,441532.0,22119.471167,15907.52985,1.000000%=9240,5.000000%=16187,10.000000%=17694,20.000000%=19005,30.000000%=19529,40.000000%=20054,50.000000%=20578,60.000000%=21102,70.000000%=21626,80.000000%=22413,90.000000%=23199,95.000000%=24248,99.000000%=83361,99.500000%=135266,99.900000%=267386,99.950000%=295698,99.990000%=379584,0%=0,0%=0,0%=0,3021.0,441532.0,22119.528739,15907.543725,311246.0,3391488.0,100.000000%,2410768.447942,34400.803895,36048896.0,600604.0,146.0,60021.0,0.0,0.0,0.0,0.0,4306.0,379750.0,19715.273291,18375.890018,1.000000%=9371,5.000000%=13434,10.000000%=14483,20.000000%=15663,30.000000%=16449,40.000000%=17170,50.000000%=17694,60.000000%=18219,70.000000%=19005,80.000000%=19791,90.000000%=20840,95.000000%=22151,99.000000%=98041,99.500000%=156237,99.900000%=287309,99.950000%=325058,99.990000%=379584,0%=0,0%=0,0%=0,4306.0,379750.0,19715.492799,18375.915544,130885.0,1409024.0,100.000000%,611344.126601,16926.541166,0.704374%,0.208719%,176299.0,0.0,209.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,1.07%,45.33%,51.75%,0.91%,0.66%,0.15%,0.00%,0.00%,0.00%,0.00%,SeqRH-4M-16,SeqRH,Sequential Read-heavy 4:1,4M,4194304,16,2.299087951604843,0.5830231920251846
54,3,fio-3.23,SeqBal-4K-16-taskset-cpu-args,0.0,0.0,6803480.0,113389.0,28347.0,60001.0,0.0,0.0,0.0,0.0,117.0,225852.0,308.698065,1127.545603,1.000000%=183,5.000000%=209,10.000000%=226,20.000000%=244,30.000000%=259,40.000000%=272,50.000000%=284,60.000000%=296,70.000000%=309,80.000000%=325,90.000000%=354,95.000000%=387,99.000000%=460,99.500000%=514,99.900000%=1318,99.950000%=7700,99.990000%=58458,0%=0,0%=0,0%=0,117.0,225852.0,308.743937,1127.545653,60976.0,138576.0,100.000000%,113583.361345,957.829844,6820200.0,113668.0,28417.0,60001.0,0.0,0.0,0.0,0.0,110.0,236727.0,252.792036,1154.615961,1.000000%=138,5.000000%=154,10.000000%=164,20.000000%=181,30.000000%=197,40.000000%=214,50.000000%=230,60.000000%=244,70.000000%=259,80.000000%=276,90.000000%=296,95.000000%=317,99.000000%=382,99.500000%=544,99.900000%=1466,99.950000%=8028,99.990000%=53215,0%=0,0%=0,0%=0,110.0,236727.0,252.846065,1154.616085,61144.0,141288.0,100.000000%,113855.697479,973.714323,0.708438%,1.559479%,3406036.0,0.0,247.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,43.10%,56.36%,0.24%,0.12%,0.09%,0.02%,0.03%,0.02%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqBal-4K-16,SeqBal,Sequential Balanced 1:1,4K,4096,16,0.10832153448581695,0.10858125446224212
